Freq.	V(vo)
Step Information: Run=1  (Run: 1/30)
8.31763771102669e+000	(-4.31595591805489e-005dB,-8.92070124887000e-003°)
8.51138038202374e+000	(-4.31526322363266e-005dB,-9.12849108306742e-003°)
8.70963589956078e+000	(-4.31453788126026e-005dB,-9.34112096490237e-003°)
8.91250938133743e+000	(-4.31377835601013e-005dB,-9.55870363361214e-003°)
9.12010839355907e+000	(-4.31298303725462e-005dB,-9.78135445447442e-003°)
9.33254300796988e+000	(-4.31215023625520e-005dB,-1.00091914799670e-002°)
9.54992586021433e+000	(-4.31127818413730e-005dB,-1.02423355123734e-002°)
9.77237220955808e+000	(-4.31036503246900e-005dB,-1.04809101678217e-002°)
9.99999999999997e+000	(-4.30940884853573e-005dB,-1.07250419418383e-002°)
1.02329299228075e+001	(-4.30840759856090e-005dB,-1.09748602764111e-002°)
1.04712854805090e+001	(-4.30735916323171e-005dB,-1.12304976286245e-002°)
1.07151930523760e+001	(-4.30626131600158e-005dB,-1.14920895408907e-002°)
1.09647819614318e+001	(-4.30511173119063e-005dB,-1.17597747128157e-002°)
1.12201845430196e+001	(-4.30390796199886e-005dB,-1.20336950747396e-002°)
1.14815362149688e+001	(-4.30264746538593e-005dB,-1.23139958629925e-002°)
1.17489755493953e+001	(-4.30132756166566e-005dB,-1.26008256968993e-002°)
1.20226443461741e+001	(-4.29994545128540e-005dB,-1.28943366575813e-002°)
1.23026877081238e+001	(-4.29849820672562e-005dB,-1.31946843685921e-002°)
1.25892541179416e+001	(-4.29698275417765e-005dB,-1.35020280784329e-002°)
1.28824955169313e+001	(-4.29539588299410e-005dB,-1.38165307449864e-002°)
1.31825673855640e+001	(-4.29373422370211e-005dB,-1.41383591219229e-002°)
1.34896288259165e+001	(-4.29199425311429e-005dB,-1.44676838471162e-002°)
1.38038426460288e+001	(-4.29017227783867e-005dB,-1.48046795331161e-002°)
1.41253754462275e+001	(-4.28826443678597e-005dB,-1.51495248597335e-002°)
1.44543977074592e+001	(-4.28626668332944e-005dB,-1.55024026687813e-002°)
1.47910838816820e+001	(-4.28417477961531e-005dB,-1.58635000610179e-002°)
1.51356124843620e+001	(-4.28198428209782e-005dB,-1.62330084953519e-002°)
1.54881661891248e+001	(-4.27969055426841e-005dB,-1.66111238903621e-002°)
1.58489319246111e+001	(-4.27728872567161e-005dB,-1.69980467281703e-002°)
1.62181009735892e+001	(-4.27477370241627e-005dB,-1.73939821607481e-002°)
1.65958690743755e+001	(-4.27214014991404e-005dB,-1.77991401186885e-002°)
1.69824365246174e+001	(-4.26938248043944e-005dB,-1.82137354225170e-002°)
1.73780082874937e+001	(-4.26649484715108e-005dB,-1.86379878965953e-002°)
