Freq.	I(L1)/v(n001)
1.41253754462276e+001	(-1.14187949016367e+002dB,8.99999775135323e+001°)
1.42889395851111e+001	(-1.14087949016367e+002dB,8.99999772531513e+001°)
1.44543977074593e+001	(-1.13987949016366e+002dB,8.99999769897552e+001°)
1.46217717445672e+001	(-1.13887949016365e+002dB,8.99999767233091e+001°)
1.47910838816821e+001	(-1.13787949016365e+002dB,8.99999764537777e+001°)
1.49623565609444e+001	(-1.13687949016364e+002dB,8.99999761811253e+001°)
1.51356124843621e+001	(-1.13587949016363e+002dB,8.99999759053158e+001°)
1.53108746168203e+001	(-1.13487949016363e+002dB,8.99999756263125e+001°)
1.54881661891249e+001	(-1.13387949016362e+002dB,8.99999753440785e+001°)
1.56675107010815e+001	(-1.13287949016361e+002dB,8.99999750585764e+001°)
1.58489319246112e+001	(-1.13187949016360e+002dB,8.99999747697683e+001°)
1.60324539069005e+001	(-1.13087949016360e+002dB,8.99999744776160e+001°)
1.62181009735893e+001	(-1.12987949016359e+002dB,8.99999741820807e+001°)
1.64058977319954e+001	(-1.12887949016358e+002dB,8.99999738831233e+001°)
1.65958690743757e+001	(-1.12787949016357e+002dB,8.99999735807041e+001°)
1.67880401812257e+001	(-1.12687949016356e+002dB,8.99999732747831e+001°)
1.69824365246175e+001	(-1.12587949016355e+002dB,8.99999729653196e+001°)
1.71790838715759e+001	(-1.12487949016354e+002dB,8.99999726522728e+001°)
1.73780082874938e+001	(-1.12387949016354e+002dB,8.99999723356011e+001°)
1.75792361395870e+001	(-1.12287949016353e+002dB,8.99999720152624e+001°)
1.77827941003893e+001	(-1.12187949016352e+002dB,8.99999716912144e+001°)
1.79887091512879e+001	(-1.12087949016351e+002dB,8.99999713634141e+001°)
1.81970085860999e+001	(-1.11987949016350e+002dB,8.99999710318181e+001°)
1.84077200146896e+001	(-1.11887949016349e+002dB,8.99999706963823e+001°)
1.86208713666287e+001	(-1.11787949016348e+002dB,8.99999703570625e+001°)
1.88364908948981e+001	(-1.11687949016347e+002dB,8.99999700138134e+001°)
1.90546071796325e+001	(-1.11587949016345e+002dB,8.99999696665897e+001°)
1.92752491319094e+001	(-1.11487949016344e+002dB,8.99999693153454e+001°)
1.94984459975805e+001	(-1.11387949016343e+002dB,8.99999689600339e+001°)
1.97242273611486e+001	(-1.11287949016342e+002dB,8.99999686006080e+001°)
1.99526231496889e+001	(-1.11187949016341e+002dB,8.99999682370202e+001°)
2.01836636368157e+001	(-1.11087949016340e+002dB,8.99999678692222e+001°)
2.04173794466954e+001	(-1.10987949016338e+002dB,8.99999674971653e+001°)
2.06538015581054e+001	(-1.10887949016337e+002dB,8.99999671208002e+001°)
2.08929613085405e+001	(-1.10787949016336e+002dB,8.99999667400770e+001°)
2.11348903983666e+001	(-1.10687949016334e+002dB,8.99999663549453e+001°)
2.13796208950224e+001	(-1.10587949016333e+002dB,8.99999659653539e+001°)
2.16271852372703e+001	(-1.10487949016332e+002dB,8.99999655712513e+001°)
2.18776162394956e+001	(-1.10387949016330e+002dB,8.99999651725851e+001°)
2.21309470960565e+001	(-1.10287949016329e+002dB,8.99999647693027e+001°)
2.23872113856835e+001	(-1.10187949016327e+002dB,8.99999643613505e+001°)
2.26464430759307e+001	(-1.10087949016326e+002dB,8.99999639486743e+001°)
2.29086765276778e+001	(-1.09987949016324e+002dB,8.99999635312197e+001°)
2.31739464996849e+001	(-1.09887949016322e+002dB,8.99999631089311e+001°)
2.34422881531993e+001	(-1.09787949016321e+002dB,8.99999626817526e+001°)
2.37137370566167e+001	(-1.09687949016319e+002dB,8.99999622496277e+001°)
2.39883291901950e+001	(-1.09587949016317e+002dB,8.99999618124990e+001°)
2.42661009508243e+001	(-1.09487949016316e+002dB,8.99999613703086e+001°)
2.45470891568504e+001	(-1.09387949016314e+002dB,8.99999609229978e+001°)
2.48313310529558e+001	(-1.09287949016312e+002dB,8.99999604705075e+001°)
2.51188643150959e+001	(-1.09187949016310e+002dB,8.99999600127775e+001°)
