x-axis,1,2,MATH
second,Volt,Volt,Volt
+43.2000E-06,+3.8203125000E+00,+5.1171875000E+00,+1.2989762747E+00
+43.3000E-06,+3.8007812500E+00,+5.1093750000E+00,+1.3079606499E+00
+43.4000E-06,+3.8007812500E+00,+5.1132812500E+00,+1.3122575249E+00
+43.5000E-06,+3.8007812500E+00,+5.1171875000E+00,+1.3149919000E+00
+43.6000E-06,+3.7851562500E+00,+5.1093750000E+00,+1.3231950251E+00
+43.7000E-06,+3.7695312500E+00,+5.1054687500E+00,+1.3353044003E+00
+43.8000E-06,+3.7656250000E+00,+5.1054687500E+00,+1.3396012753E+00
+43.9000E-06,+3.7695312500E+00,+5.1093750000E+00,+1.3415544004E+00
+44.0000E-06,+3.7578125000E+00,+5.1093750000E+00,+1.3485856505E+00
+44.1000E-06,+3.7460937500E+00,+5.1015625000E+00,+1.3587419006E+00
+44.2000E-06,+3.7421875000E+00,+5.1054687500E+00,+1.3638200257E+00
+44.3000E-06,+3.7265625000E+00,+5.0976562500E+00,+1.3708512758E+00
+44.4000E-06,+3.7265625000E+00,+5.1015625000E+00,+1.3763200259E+00
+44.5000E-06,+3.7265625000E+00,+5.1093750000E+00,+1.3821794010E+00
+44.6000E-06,+3.7070312500E+00,+5.0937500000E+00,+1.3864762760E+00
+44.7000E-06,+3.7031250000E+00,+5.0976562500E+00,+1.3962419012E+00
+44.8000E-06,+3.6992187500E+00,+5.1015625000E+00,+1.4017106513E+00
+44.9000E-06,+3.6953125000E+00,+5.1015625000E+00,+1.4040544013E+00
+45.0000E-06,+3.6914062500E+00,+5.0976562500E+00,+1.4095231514E+00
+45.1000E-06,+3.6679687500E+00,+5.0898437500E+00,+1.4204606515E+00
+45.2000E-06,+3.6718750000E+00,+5.0976562500E+00,+1.4247575266E+00
+45.3000E-06,+3.6796875000E+00,+5.1015625000E+00,+1.4224137766E+00
+45.4000E-06,+3.6601562500E+00,+5.0937500000E+00,+1.4313981517E+00
+45.5000E-06,+3.6484375000E+00,+5.0898437500E+00,+1.4427262769E+00
+45.6000E-06,+3.6484375000E+00,+5.0976562500E+00,+1.4478044019E+00
+45.7000E-06,+3.6484375000E+00,+5.0976562500E+00,+1.4485856520E+00
