x-axis,1,2,MATH
second,Volt,Volt,Volt
+42.4000E-06,+3.8867187500E+00,+5.1289062500E+00,+1.2396012738E+00
+42.5000E-06,+3.8750000000E+00,+5.1250000000E+00,+1.2501481490E+00
+42.6000E-06,+3.8476562500E+00,+5.1132812500E+00,+1.2634293992E+00
+42.7000E-06,+3.8515625000E+00,+5.1210937500E+00,+1.2704606493E+00
+42.8000E-06,+3.8359375000E+00,+5.1093750000E+00,+1.2747575244E+00
+42.9000E-06,+3.8164062500E+00,+5.1054687500E+00,+1.2884293996E+00
+43.0000E-06,+3.8476562500E+00,+5.1289062500E+00,+1.2810075245E+00
+43.1000E-06,+3.8359375000E+00,+5.1171875000E+00,+1.2825700245E+00
+43.2000E-06,+3.8085937500E+00,+5.1093750000E+00,+1.3001481497E+00
+43.3000E-06,+3.8046875000E+00,+5.1132812500E+00,+1.3067887748E+00
+43.4000E-06,+3.7968750000E+00,+5.1054687500E+00,+1.3103043999E+00
+43.5000E-06,+3.7929687500E+00,+5.1093750000E+00,+1.3157731500E+00
+43.6000E-06,+3.7890625000E+00,+5.1132812500E+00,+1.3216325251E+00
+43.7000E-06,+3.7734375000E+00,+5.1015625000E+00,+1.3286637752E+00
+43.8000E-06,+3.7695312500E+00,+5.1093750000E+00,+1.3388200253E+00
+43.9000E-06,+3.7890625000E+00,+5.1210937500E+00,+1.3313981502E+00
+44.0000E-06,+3.7656250000E+00,+5.1054687500E+00,+1.3423356504E+00
+44.1000E-06,+3.7109375000E+00,+5.0820312500E+00,+1.3728044008E+00
+44.2000E-06,+3.7187500000E+00,+5.0937500000E+00,+1.3751481509E+00
+44.3000E-06,+3.7695312500E+00,+5.1210937500E+00,+1.3528825255E+00
+44.4000E-06,+3.7500000000E+00,+5.1132812500E+00,+1.3630387757E+00
+44.5000E-06,+3.7070312500E+00,+5.0937500000E+00,+1.3888200261E+00
+44.6000E-06,+3.7031250000E+00,+5.0937500000E+00,+1.3931169011E+00
+44.7000E-06,+3.7109375000E+00,+5.1015625000E+00,+1.3919450261E+00
+44.8000E-06,+3.7031250000E+00,+5.1015625000E+00,+1.3962419012E+00
+44.9000E-06,+3.6875000000E+00,+5.0937500000E+00,+1.4071794013E+00
+45.0000E-06,+3.6796875000E+00,+5.0937500000E+00,+1.4134294014E+00
+45.1000E-06,+3.6796875000E+00,+5.0976562500E+00,+1.4173356515E+00
+45.2000E-06,+3.6835937500E+00,+5.1015625000E+00,+1.4196794015E+00
+45.3000E-06,+3.6757812500E+00,+5.1015625000E+00,+1.4235856516E+00
+45.4000E-06,+3.6523437500E+00,+5.0898437500E+00,+1.4356950268E+00
+45.5000E-06,+3.6406250000E+00,+5.0859375000E+00,+1.4446794019E+00
+45.6000E-06,+3.6484375000E+00,+5.0937500000E+00,+1.4438981519E+00
+45.7000E-06,+3.6523437500E+00,+5.0976562500E+00,+1.4450700269E+00
+45.8000E-06,+3.6367187500E+00,+5.0898437500E+00,+1.4548356521E+00
+45.9000E-06,+3.6210937500E+00,+5.0859375000E+00,+1.4649919022E+00
+46.0000E-06,+3.6250000000E+00,+5.0937500000E+00,+1.4692887773E+00
+46.1000E-06,+3.6210937500E+00,+5.0937500000E+00,+1.4712419023E+00
+46.2000E-06,+3.6093750000E+00,+5.0898437500E+00,+1.4778825274E+00
+46.3000E-06,+3.5898437500E+00,+5.0820312500E+00,+1.4915544026E+00
+46.4000E-06,+3.5820312500E+00,+5.0820312500E+00,+1.4993669027E+00
+46.5000E-06,+3.6015625000E+00,+5.0937500000E+00,+1.4950700277E+00
+46.6000E-06,+3.5976562500E+00,+5.0937500000E+00,+1.4970231527E+00
+46.7000E-06,+3.5429687500E+00,+5.0664062500E+00,+1.5239762781E+00
+46.8000E-06,+3.5625000000E+00,+5.0859375000E+00,+1.5239762781E+00
+46.9000E-06,+3.5976562500E+00,+5.1015625000E+00,+1.5024919028E+00
+47.0000E-06,+3.5625000000E+00,+5.0859375000E+00,+1.5228044031E+00
